,lat_pred,lon_pred,indoor_pred
0,-8.055605000000012,-34.951728,1.0
1,-8.055605000000012,-34.951728,1.0
2,-8.055605000000012,-34.951728,1.0
3,-8.055605000000012,-34.951728,1.0
4,-8.055605000000012,-34.951728,1.0
5,-8.055605000000012,-34.951728,1.0
6,-8.055605000000012,-34.951728,1.0
7,-8.055605000000012,-34.951728,1.0
8,-8.055605000000012,-34.951728,1.0
9,-8.055605000000012,-34.951728,1.0
10,-8.055605000000012,-34.951728,1.0
11,-8.055605000000012,-34.951728,1.0
12,-8.055605000000012,-34.951728,1.0
13,-8.055605000000012,-34.951728,1.0
14,-8.055605000000012,-34.951728,1.0
15,-8.055605000000012,-34.951728,1.0
16,-8.055605000000012,-34.951728,1.0
17,-8.055605000000012,-34.951728,1.0
18,-8.055605000000012,-34.951728,1.0
19,-8.055605000000012,-34.951728,1.0
20,-8.055605000000012,-34.951728,1.0
21,-8.055605000000012,-34.951728,1.0
22,-8.055605000000012,-34.951728,1.0
23,-8.055605000000012,-34.951728,1.0
24,-8.055605000000012,-34.951728,1.0
25,-8.055605000000012,-34.951728,1.0
26,-8.055605000000012,-34.951728,1.0
27,-8.055605000000012,-34.951728,1.0
28,-8.055605000000012,-34.951728,1.0
29,-8.055605000000012,-34.951728,1.0
30,-8.055605000000012,-34.951728,1.0
31,-8.055605000000012,-34.951728,1.0
32,-8.055605000000012,-34.951728,1.0
33,-8.055605000000012,-34.951728,1.0
34,-8.055605000000012,-34.951728,1.0
35,-8.055605000000012,-34.951728,1.0
36,-8.055605000000012,-34.951728,1.0
37,-8.055605000000012,-34.951728,1.0
38,-8.055605000000012,-34.951728,1.0
39,-8.055605000000012,-34.951728,1.0
40,-8.055605000000012,-34.951728,1.0
41,-8.055605000000012,-34.951728,1.0
42,-8.055605000000012,-34.951728,1.0
43,-8.055605000000012,-34.951728,1.0
44,-8.055605000000012,-34.951728,1.0
45,-8.055605000000012,-34.951728,1.0
46,-8.055605000000012,-34.951728,1.0
47,-8.055605000000012,-34.951728,1.0
48,-8.055605000000012,-34.951728,1.0
49,-8.055605000000012,-34.951728,1.0
50,-8.055605000000012,-34.951728,1.0
51,-8.055605000000012,-34.951728,1.0
52,-8.055605000000012,-34.951728,1.0
53,-8.055605000000012,-34.951728,1.0
54,-8.055605000000012,-34.951728,1.0
55,-8.055605000000012,-34.951728,1.0
56,-8.055605000000012,-34.951728,1.0
57,-8.055605000000012,-34.951728,1.0
58,-8.055605000000012,-34.951728,1.0
59,-8.055605000000012,-34.951728,1.0
60,-8.055605000000012,-34.951728,1.0
61,-8.055605000000012,-34.951728,1.0
62,-8.055605000000012,-34.951728,1.0
63,-8.055605000000012,-34.951728,1.0
64,-8.055605000000012,-34.951728,1.0
65,-8.055605000000012,-34.951728,1.0
66,-8.055605000000012,-34.951728,1.0
67,-8.055605000000012,-34.951728,1.0
68,-8.055605000000012,-34.951728,1.0
69,-8.055605000000012,-34.951728,1.0
70,-8.055605000000012,-34.951728,1.0
71,-8.055605000000012,-34.951728,1.0
72,-8.055605000000012,-34.951728,1.0
73,-8.055605000000012,-34.951728,1.0
74,-8.055605000000012,-34.951728,1.0
75,-8.055605000000012,-34.951728,1.0
76,-8.055605000000012,-34.951728,1.0
77,-8.055605000000012,-34.951728,1.0
78,-8.055605000000012,-34.951728,1.0
79,-8.055605000000012,-34.951728,1.0
80,-8.055605000000012,-34.951728,1.0
81,-8.055605000000012,-34.951728,1.0
82,-8.055605000000012,-34.951728,1.0
83,-8.055605000000012,-34.951728,1.0
84,-8.055605000000012,-34.951728,1.0
85,-8.055605000000012,-34.951728,1.0
86,-8.055605000000012,-34.951728,1.0
87,-8.055605000000012,-34.951728,1.0
88,-8.055605000000012,-34.951728,1.0
89,-8.055605000000012,-34.951728,1.0
